   timestamp          x        y      theta
1573600460.480035 0.0000302 -0.0000071 -0.0018534
1573600462.613463 0.0103858 0.4163140 -2.4718049
1573600462.846845 0.0127338 0.5400547 -2.4582703
1573600463.046857 0.0179017 0.6593647 -3.1945643
1573600463.546840 0.0425919 1.0156546 -6.3994012
1573600463.780180 0.0478696 1.1804084 -8.4329138
1573600464.246790 0.0446329 1.5362927 -11.2231579
1573600464.480180 0.0384353 1.7081583 -12.2550392
1573600464.746775 0.0314728 1.9177501 -13.9400482
1573600465.013539 0.0514998 2.1483049 -15.2558403
1573600465.513501 0.0380815 2.5367715 -18.9515228
1573600466.013485 -0.0187206 2.9173841 -21.3814964
1573600466.480256 -0.0883446 3.2959406 -25.2250481
1573600466.746840 -0.1382358 3.4895945 -26.9284210
1573600467.013603 -0.1987448 3.7020838 -28.2525787
1573600467.480215 -0.3294216 4.0784197 -30.7920990
1573600467.713563 -0.4054486 4.2707386 -32.4708939
1573600467.946955 -0.4739175 4.4595900 -33.6798820
1573600468.246921 -0.5697684 4.6850667 -35.2416687
1573600468.513542 -0.6696482 4.8982129 -37.7617111
1573600468.780278 -0.7683704 5.0919962 -39.4540672
1573600469.013522 -0.8650081 5.2507057 -42.0681076
1573600469.280288 -0.9741664 5.4446788 -43.7336884
1573600469.546890 -1.0843122 5.6130962 -45.5416031
1573600469.813626 -1.2006509 5.8016362 -45.2925758
1573600470.080264 -1.3237646 5.9851036 -46.7054253
1573600470.380237 -1.4659555 6.1625195 -48.1954269
1573600470.646979 -1.6009483 6.3276215 -50.3066635
1573600470.913599 -1.7301524 6.4777670 -51.5654297
1573600471.180340 -1.8640816 6.6316929 -50.6380348
1573600471.446958 -2.0090489 6.7712727 -50.1522064
1573600471.713570 -2.1497829 6.9256096 -50.1600456
1573600472.013690 -2.3122752 7.0985537 -51.0408897
1573600472.280304 -2.4434505 7.2434692 -50.9611435
1573600472.546967 -2.5804286 7.3920403 -50.5314827
1573600473.047036 -2.8482265 7.6824207 -51.3303490
1573600473.313675 -2.9904256 7.8351059 -51.9517212
1573600473.813641 -3.2722101 8.1223478 -53.8252068
1573600474.080401 -3.4340839 8.2863941 -53.2770042
1573600474.580365 -3.7323518 8.5803223 -51.8397980
1573600474.846980 -3.8914557 8.7288589 -53.7540474
1573600475.347091 -4.1948271 9.0108948 -54.4446602
1573600475.580337 -4.3439279 9.1343117 -55.0702705
1573600475.813720 -4.4912214 9.2501125 -56.2288170
1573600476.080323 -4.6522856 9.3787394 -56.6811447
1573600476.347064 -4.8199253 9.5067444 -58.5623093
1573600476.613680 -4.9788032 9.6287518 -60.1033554
1573600476.913674 -5.1606617 9.7669182 -60.8599243
1573600477.180416 -5.3320937 9.8996792 -60.5542488
1573600477.413785 -5.4733548 10.0097179 -60.5492363
1573600477.680403 -5.6334147 10.1418667 -60.1874352
1573600477.913771 -5.7770500 10.2524223 -61.2187881
1573600478.180433 -5.9341192 10.3697987 -61.8803444
1573600478.413755 -6.0809193 10.4767437 -61.9870377
1573600478.880522 -6.3865595 10.6973543 -63.4906921
1573600479.113736 -6.5404358 10.7877159 -64.8688736
1573600479.547102 -6.8386855 10.9550800 -64.7937317
1573600479.780470 -6.9887748 11.0399265 -64.1296539
1573600480.013838 -7.1447134 11.1347685 -62.4729424
1573600480.280455 -7.3285804 11.2419014 -60.6025162
1573600480.513824 -7.4835176 11.3289108 -60.1945343
1573600506.414402 -7.2661042 11.0784798 -64.0350037
1573600507.581111 -7.2163153 11.1784210 -65.9253616
1573600508.214475 -7.3800945 11.2960548 -64.5948410
1573600508.581086 -7.5317078 11.3880529 -63.7593689
1573600509.181072 -7.7851992 11.5492229 -64.8166809
1573600509.547814 -7.9406476 11.6402617 -65.7870026
1573600509.981201 -8.1555614 11.7628736 -64.0685501
1573600510.181175 -8.2357435 11.8122940 -63.8203087
1573600510.381171 -8.3114395 11.8555975 -64.1874466
1573600510.781173 -8.5200644 11.9732924 -65.2157974
1573600511.014527 -8.6312895 12.0387249 -65.5526810
1573600511.181146 -8.7150784 12.0812979 -64.7918015
1573600511.547782 -8.9166203 12.1786480 -62.9805183
1573600511.781134 -9.0497341 12.2545576 -63.0843468
1573600512.181150 -9.2854328 12.4068584 -63.0284653
1573600512.647868 -9.5438976 12.5600357 -62.9623489
1573600513.047855 -9.7877922 12.7054615 -63.0665512
1573600513.247847 -9.9118071 12.7745209 -63.2281609
1573600513.514592 -10.0956287 12.8745241 -64.4468994
1573600513.714612 -10.2463923 12.9563293 -65.1200714
1573600514.147827 -10.5565910 13.1240978 -66.3024063
1573600514.347947 -10.7021656 13.2074108 -65.7198563
1573600514.581190 -10.8727188 13.2984867 -65.8352280
1573600515.014556 -11.1683922 13.4636602 -65.6729584
1573600515.214556 -11.3344841 13.5916500 -66.9641190
1573600515.447953 -11.4782963 13.6801624 -67.7545395
1573600515.981286 -11.8633957 13.8628979 -68.2372284
1573600516.481298 -12.2217426 14.0653305 -67.4304810
1573600516.948008 -12.5549307 14.2305508 -68.5866547
1573600517.414622 -12.9028873 14.3973522 -69.1038208
1573600517.914610 -13.2887573 14.5816946 -68.4964371
1573600518.381391 -13.6654396 14.7555141 -69.8835068
1573600518.881339 -14.0607243 14.9341259 -70.2860718
1573600519.414703 -14.4875298 15.1249733 -70.9349976
1573600519.914706 -14.8782616 15.2873116 -72.3264389
1573600520.314684 -15.1769485 15.4069614 -71.9581451
1573600520.781421 -15.5309334 15.5515194 -71.8385696
1573600521.181407 -15.8294411 15.6693249 -72.8542862
1573600521.581417 -16.1214676 15.7830353 -73.8701935
1573600521.981390 -16.4190693 15.8994265 -74.3099670
1573600522.181410 -16.5601406 15.9479475 -75.2525864
1573600522.381381 -16.7258739 16.0436306 -77.9572983
1573600522.581391 -16.8650684 16.0909958 -79.5654984
1573600522.781373 -16.9970665 16.1340790 -82.3515167
1573600523.014745 -17.1550407 16.1758347 -85.1949310
1573600523.214736 -17.3048038 16.2030106 -86.6902618
1573600523.481512 -17.4990139 16.2442036 -87.4705505
1573600523.948128 -17.8298073 16.3048191 -89.7669220
1573600524.648204 -18.3695316 16.3772621 -93.4871521
1573600525.081441 -18.6848946 16.3968163 -96.1492767
1573600525.314812 -18.8504715 16.3907661 -98.2001648
1573600525.781548 -19.1784782 16.3706150 -101.8101883
1573600526.014794 -19.3293762 16.3474941 -102.7915421
1573600526.248189 -19.4805336 16.3198929 -103.2759781
1573600526.514908 -19.6410713 16.2912941 -103.1844025
1573600526.748152 -19.8067913 16.2711258 -103.6756744
1573600527.214894 -20.1675339 16.2189407 -104.6265106
1573600527.648257 -20.5102787 16.1566753 -105.4989014
1573600527.814883 -20.6733131 16.1446075 -105.3080826
1573600528.481786 -21.1691055 16.0438900 -111.4710541
1573600528.714857 -21.3280182 15.9920216 -113.4898605
1573600528.981602 -21.5079479 15.9345741 -115.1619949
1573600529.214971 -21.6412086 15.8917522 -115.5859604
1573600529.748335 -21.9963856 15.7863522 -116.7160797
1573600530.281574 -22.3416481 15.6661606 -119.0235596
1573600530.781689 -22.6530838 15.5377769 -120.8341370
